epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,16707.8,0.8574,1.28766,0.83521,0.98,0.18594,0.07692,0.10345,0.04016,0.11309,0.10088,0.07439,0.03317,2.20489,3.84972,3.33055,2.33791,0.000374074,0.000374074,0.000374074
69,16795.8,0.84476,1.32603,0.82237,0.98862,0.50175,0.08333,0.10604,0.04018,0.10242,0.10088,0.07182,0.02946,2.21063,4.00718,3.33079,2.32448,0.000363075,0.000363075,0.000363075
70,16885.5,0.88122,1.34257,0.84079,0.9912,0.14237,0.0956,0.09325,0.03676,0.08937,0.09447,0.067,0.02867,2.25243,4.08276,3.33855,2.28542,0.000352076,0.000352076,0.000352076
71,16973.1,0.87658,1.33843,0.84745,1.00472,0.18196,0.09776,0.09619,0.03601,0.17807,0.09278,0.06925,0.02909,2.23572,4.14406,3.32783,2.25105,0.000341077,0.000341077,0.000341077
72,17061.9,0.85724,1.31755,0.79196,0.9764,0.53716,0.09716,0.09948,0.03901,0.52136,0.09919,0.07326,0.02986,2.19136,4.08529,3.27937,2.238,0.000330078,0.000330078,0.000330078
73,17151.2,0.84336,1.26352,0.79963,0.96143,0.49746,0.09447,0.09336,0.03221,0.53442,0.08165,0.07549,0.02723,2.22233,3.91225,3.22756,2.26918,0.000319079,0.000319079,0.000319079
74,17240.5,0.84805,1.31056,0.81828,0.98438,0.46329,0.11201,0.07822,0.03001,0.53102,0.07524,0.06153,0.02172,2.17861,3.89105,3.33813,2.23894,0.00030808,0.00030808,0.00030808
75,17328.2,0.83388,1.29808,0.81849,0.98269,0.43989,0.10729,0.07447,0.02663,0.49969,0.06242,0.05434,0.01899,2.20107,3.89847,3.33465,2.27158,0.000297081,0.000297081,0.000297081
76,17416.7,0.79312,1.23726,0.76866,0.9696,0.10151,0.09546,0.0641,0.02548,0.12025,0.0641,0.05844,0.01944,2.19863,3.93551,3.39695,2.32999,0.000286083,0.000286083,0.000286083
77,17509.9,0.82829,1.28909,0.80849,0.98248,0.1207,0.08974,0.0832,0.03182,0.16442,0.05769,0.05171,0.01946,2.19742,4.02086,3.44134,2.36104,0.000275084,0.000275084,0.000275084
78,17599.6,0.77948,1.23665,0.75777,0.96008,0.13606,0.09447,0.08432,0.0325,0.13748,0.05769,0.05489,0.0197,2.23795,4.07319,3.44349,2.3888,0.000264085,0.000264085,0.000264085
